pdf_file,account_name,candidate_name,committee_name,account_type,office_sought,reporting_period,date_filed,carried_forward_last,total_contributions,total_expenditures,report_total,amended_contributions,amended_expenditures,amendment_total,total_carried_forward
americans_for_prosperity__primary_report_2026__amendment_1.pdf,AMERICANS FOR PROSPERITY,,,ORGANIZATION,,PRIMARY REPORT - 2026,8/11/2026,,0.0,-3800.0,,,,,
americans_for_prosperity__primary_report_2026__official_1.pdf,AMERICANS FOR PROSPERITY,,,ORGANIZATION,,PRIMARY REPORT - 2026,8/11/2026,0.0,0.0,-285988.28,-285988.28,0.0,-3800.0,3800.0,-289788.28
better_wyoming_action_research__primary_report_2026__amendment_1.pdf,BETTER WYOMING ACTION + RESEARCH,,,ORGANIZATION,,PRIMARY REPORT - 2026,8/12/2026,,0.0,-6693.03,,,,,
better_wyoming_action_research__primary_report_2026__official_1.pdf,BETTER WYOMING ACTION + RESEARCH,,,ORGANIZATION,,PRIMARY REPORT - 2026,8/11/2026,0.0,29400.0,-10199.84,19200.16,0.0,-0.0,0.0,19200.16
code_of_the_west_action__primary_report_2026__official_1.pdf,CODE OF THE WEST ACTION,,,ORGANIZATION,,PRIMARY REPORT - 2026,8/11/2026,0.0,0.0,-40719.93,-40719.93,0.0,-0.0,0.0,-40719.93
conservation_stewardship_action_fund__primary_report_2026__official_1.pdf,CONSERVATION STEWARDSHIP ACTION FUND,,,ORGANIZATION,,PRIMARY REPORT - 2026,8/11/2026,0.0,0.0,-33500.0,-33500.0,0.0,-0.0,0.0,-33500.0
convention_of_states_action__primary_report_2026__official_1.pdf,CONVENTION OF STATES ACTION,,,ORGANIZATION,,PRIMARY REPORT - 2026,8/10/2026,0.0,0.0,-14753.97,-14753.97,0.0,-0.0,0.0,-14753.97
national_association_for_gun_rights__primary_report_2026__official_1.pdf,NATIONAL ASSOCIATION FOR GUN RIGHTS,,,ORGANIZATION,,PRIMARY REPORT - 2026,8/4/2026,0.0,0.0,-716.76,-716.76,0.0,-0.0,0.0,-716.76
wyoming_free__primary_report_2026__official_1.pdf,WYOMING FREE,,,ORGANIZATION,,PRIMARY REPORT - 2026,8/11/2026,0.0,0.0,-29975.41,-29975.41,0.0,-0.0,0.0,-29975.41
wyoming_grit__primary_report_2026__official_1.pdf,WYOMING GRIT,,,ORGANIZATION,,PRIMARY REPORT - 2026,8/11/2026,0.0,0.0,-7978.17,-7978.17,0.0,-0.0,0.0,-7978.17
wyounited__primary_report_2026__official_1.pdf,WYOUNITED,,,ORGANIZATION,,PRIMARY REPORT - 2026,8/11/2026,0.0,50000.0,-41739.53,8260.47,0.0,-0.0,0.0,8260.47
